book_id,ni,ri,group
331,2489,3.8,G10
332,3461,3.91,G10
333,2836,4.22,G10
334,1529,4.08,G10
335,4017,3.93,G10
336,2019,3.82,G10
337,3270,4.31,G10
338,2192,3.59,G10
339,3507,4.24,G10
340,2265,3.76,G10
341,3715,3.74,G10
342,2863,3.17,G9
343,3168,3.82,G10
344,2744,4.03,G10
345,2963,3.75,G10
346,3275,3.94,G10
347,3353,3.85,G10
348,2503,3.71,G10
349,3387,3.86,G10
350,2712,3.92,G10
351,2380,4.29,G10
352,2378,3.64,G10
353,3414,3.9,G10
354,3842,3.64,G10
355,2588,4.01,G10
356,3092,3.74,G10
357,3273,3.85,G10
358,3321,4.26,G10
359,2925,3.99,G10
360,2864,3.98,G10
361,3421,3.76,G10
362,2497,4.08,G10
363,1538,4.04,G10
364,3231,4.33,G10
365,1965,4.23,G10
366,1318,4.21,G10
367,2118,3.98,G10
368,3479,4.03,G10
369,2123,3.72,G10
370,2000,3.84,G10
371,2629,3.87,G10
372,2885,4.01,G10
373,2889,4.14,G10
374,2230,4.13,G10
375,3625,3.76,G10
376,2446,3.5,G9
377,3250,4.03,G10
378,2700,3.89,G10
379,2705,3.82,G10
380,1887,3.88,G10
381,2592,3.87,G10
382,1553,3.76,G10
383,2511,3.42,G9
384,2219,4.18,G10
385,1535,3.99,G10
386,3409,3.8,G10
387,3560,3.54,G10
388,2392,3.6,G10
389,2626,4.3,G10
390,2926,3.74,G10
391,2847,4.32,G10
392,1150,3.77,G10
393,2051,4.17,G10
394,2098,4.26,G10
395,3222,3.88,G10
396,2631,3.88,G10
397,2121,3.88,G10
398,2095,3.78,G10
399,2403,3.83,G10
400,2243,3.83,G10
401,3204,3.7,G10
402,2897,4.09,G10
403,1873,3.8,G10
404,2297,3.88,G10
405,2704,3.99,G10
406,590,3.94,G10
407,3144,3.88,G10
408,2255,3.95,G10
409,3113,4.18,G10
410,2878,3.55,G10
411,1682,3.57,G10
412,1485,4.08,G10
413,3062,3.99,G10
414,2962,3.62,G10
415,1670,3.36,G9
416,2713,4.11,G10
417,2959,3.85,G10
418,1925,4.28,G10
419,2013,4.24,G10
420,1779,3.69,G10
421,2634,3.73,G10
422,1915,4.66,G10
423,2195,3.77,G10
424,2910,3.99,G10
425,2232,3.6,G10
426,2999,3.73,G10
427,2831,4.14,G10
428,1952,4.33,G10
429,2463,3.88,G10
430,1938,4.03,G10
431,2483,3.92,G10
432,2549,4.09,G10
433,1774,4.05,G10
434,1506,3.85,G10
435,1601,3.8,G10
436,2427,3.8,G10
437,2735,4.17,G10
438,2507,3.93,G10
439,1845,3.98,G10
440,2157,4.12,G10
441,2609,3.75,G10
442,2050,4.02,G10
443,1422,3.97,G10
444,3161,4.3,G10
445,1976,3.71,G10
446,2024,4.11,G10
447,2455,3.8,G10
448,1251,3.57,G10
449,1589,3.68,G10
450,2431,3.86,G10
451,2651,3.72,G10
452,1944,4.0,G10
453,3174,3.75,G10
454,1889,4.16,G10
455,1615,3.69,G10
456,2457,3.96,G10
457,2780,3.67,G10
458,2556,4.01,G10
459,2441,4.31,G10
460,1999,4.41,G10
461,3137,3.92,G10
462,403,3.94,G10
463,2472,4.15,G10
464,1668,4.17,G10
465,1812,3.66,G10
466,1782,4.46,G10
467,2553,3.77,G10
468,2825,3.78,G10
469,1776,3.78,G10
470,1172,4.0,G10
471,2725,3.76,G10
472,1656,4.31,G10
473,2132,3.68,G10
474,1556,3.79,G10
475,1885,3.94,G10
476,3233,4.0,G10
477,1767,3.91,G10
478,2653,3.59,G10
479,2189,3.63,G10
480,3075,3.98,G10
481,1975,3.95,G10
482,2131,4.06,G10
483,2343,3.9,G10
484,1987,3.51,G10
485,2369,4.14,G10
486,1991,3.76,G10
487,3004,3.79,G10
488,2744,4.32,G10
489,2094,4.08,G10
490,2027,4.37,G10
491,1545,3.71,G10
492,2618,3.9,G10
493,1815,4.17,G10
494,2522,3.98,G10
495,2463,3.57,G10
496,2931,3.85,G10
497,2638,3.88,G10
498,2398,4.02,G10
499,2082,3.6,G10
500,1647,3.57,G10
501,2622,3.65,G10
502,1070,4.21,G10
503,2253,3.98,G10
504,1003,4.31,G10
505,1425,3.43,G9
506,1980,3.93,G10
507,1144,4.37,G10
508,1778,3.67,G10
509,1541,3.58,G10
510,2217,4.05,G10
511,1704,3.85,G10
512,2212,4.31,G10
513,1718,4.41,G10
514,2203,4.2,G10
515,2643,4.18,G10
516,2513,4.05,G10
517,1202,3.88,G10
518,2310,4.07,G10
519,2208,3.74,G10
520,1853,4.04,G10
521,1863,4.02,G10
522,2373,3.92,G10
523,2278,4.06,G10
524,386,3.95,G10
525,1619,3.93,G10
526,1382,3.75,G10
527,2485,3.83,G10
528,2096,4.1,G10
529,2848,3.52,G10
530,2696,4.02,G10
531,2643,3.36,G9
532,1047,4.27,G10
533,2233,3.21,G9
534,2172,3.99,G10
535,1733,3.92,G10
536,1785,3.92,G10
537,1019,3.91,G10
538,3037,3.82,G10
539,1699,4.26,G10
540,2480,4.17,G10
541,1391,4.02,G10
542,2769,3.8,G10
543,1798,4.33,G10
544,2483,4.17,G10
545,2882,4.24,G10
546,2258,3.65,G10
547,2404,3.72,G10
548,899,3.52,G10
549,1821,4.21,G10
550,1915,4.12,G10
551,2309,3.7,G10
552,1285,3.92,G10
553,2470,3.71,G10
554,2081,4.23,G10
555,1514,4.15,G10
556,2583,3.47,G9
557,2233,3.75,G10
558,2375,3.95,G10
559,2516,3.67,G10
560,2361,3.6,G10
561,2587,4.18,G10
562,1789,4.55,G10
563,2387,3.87,G10
564,961,3.95,G10
565,2007,4.22,G10
566,1957,3.6,G10
567,2122,3.99,G10
568,1242,4.26,G10
569,1732,3.86,G10
570,2229,3.89,G10
571,1254,3.97,G10
572,2181,3.92,G10
573,1365,3.29,G9
574,1774,3.91,G10
575,2426,3.69,G10
576,2235,3.68,G10
577,2375,3.76,G10
578,2352,3.53,G10
579,1780,4.08,G10
580,310,3.96,G10
581,1854,4.2,G10
582,893,3.5,G9
583,1245,3.97,G10
584,2311,3.4,G9
585,882,4.28,G10
586,1820,3.63,G10
587,2056,3.77,G10
588,1503,4.02,G10
589,1328,4.03,G10
590,2364,3.88,G10
591,1713,4.13,G10
592,1543,4.16,G10
593,2143,3.91,G10
594,1608,3.9,G10
595,2599,3.53,G10
596,2339,3.76,G10
597,2236,3.78,G10
598,1765,4.05,G10
599,2200,4.14,G10
600,1355,3.68,G10
601,2174,4.12,G10
602,2558,3.84,G10
603,1849,4.32,G10
604,1646,3.76,G10
605,1318,3.6,G10
606,2054,3.63,G10
607,1821,4.26,G10
608,1912,4.26,G10
609,1903,3.45,G9
610,1710,4.32,G10
611,1890,3.61,G10
612,2231,4.12,G10
613,1949,4.0,G10
614,1669,3.91,G10
615,1174,3.95,G10
616,1691,3.85,G10
617,1635,3.57,G10
618,2093,3.96,G10
619,776,4.05,G10
620,2380,4.07,G10
621,2471,3.87,G10
622,1303,3.63,G10
623,1696,3.84,G10
624,2095,3.93,G10
625,1866,3.86,G10
626,1865,4.19,G10
627,1589,4.26,G10
628,1885,4.0,G10
629,1123,3.49,G9
630,1152,3.83,G10
631,2207,3.86,G10
632,1373,3.84,G10
633,1809,3.92,G10
634,1215,3.78,G10
635,1486,3.7,G10
636,520,4.27,G10
637,2189,4.02,G10
638,1973,3.6,G10
639,2170,3.89,G10
640,2045,3.51,G10
641,2412,3.92,G10
642,1885,4.13,G10
643,1400,3.63,G10
644,1553,4.21,G10
645,1040,3.62,G10
646,2723,3.44,G9
647,1060,3.48,G9
648,1727,3.86,G10
649,1563,3.76,G10
650,2278,3.71,G10
651,1731,3.89,G10
652,2139,3.87,G10
653,1565,3.9,G10
654,1946,3.7,G10
655,1813,3.37,G9
656,1052,3.63,G10
657,1433,3.64,G10
658,2177,3.67,G10
659,1124,3.72,G10
660,2325,3.41,G9
661,1877,4.24,G10
662,1884,4.05,G10
663,1347,4.06,G10
664,1830,3.83,G10
665,1981,3.95,G10
666,2238,3.95,G10
667,1110,3.93,G10
668,2032,3.71,G10
669,1902,4.09,G10
670,2348,3.81,G10
671,1267,3.93,G10
672,1947,4.06,G10
673,1525,4.19,G10
674,1237,3.94,G10
675,2344,3.72,G10
676,1124,3.88,G10
677,1289,4.24,G10
678,1948,3.96,G10
679,1826,4.23,G10
680,639,3.88,G10
681,2141,4.13,G10
682,2251,3.74,G10
683,1152,3.8,G10
684,1562,4.36,G10
685,1200,3.57,G10
686,1209,3.77,G10
687,1274,4.04,G10
688,1919,3.98,G10
689,1895,3.65,G10
690,1023,3.57,G10
691,1862,4.29,G10
692,1438,3.78,G10
693,2181,3.63,G10
694,1050,3.42,G9
695,1990,3.95,G10
696,2263,3.88,G10
697,2040,3.82,G10
698,1291,3.95,G10
699,1817,3.74,G10
700,1298,3.77,G10
701,1932,3.62,G10
702,1253,3.72,G10
703,1971,3.72,G10
704,2448,4.03,G10
705,2021,3.46,G9
706,1775,3.81,G10
707,1561,3.89,G10
708,922,3.49,G9
709,1521,4.17,G10
710,1611,3.58,G10
711,1248,4.1,G10
712,1733,4.2,G10
713,1356,4.14,G10
714,2333,3.89,G10
715,2400,3.46,G9
716,1117,3.76,G10
717,592,4.45,G10
718,1960,3.74,G10
719,877,3.78,G10
720,699,3.98,G10
721,1028,4.23,G10
722,1789,4.04,G10
723,1094,4.1,G10
724,1996,3.87,G10
725,1998,4.15,G10
726,1420,4.08,G10
727,2104,3.65,G10
728,1300,4.1,G10
729,1511,4.14,G10
730,2147,3.35,G9
731,1596,4.05,G10
732,1423,3.3,G9
733,2533,3.75,G10
734,1930,4.35,G10
735,1079,4.33,G10
736,2004,3.8,G10
737,1226,4.09,G10
738,1998,4.12,G10
739,2035,4.3,G10
740,1897,4.34,G10
741,1276,3.27,G9
742,1557,4.15,G10
743,1659,4.17,G10
744,817,3.9,G10
745,1327,3.83,G10
746,1596,4.22,G10
747,1552,4.09,G10
748,1955,3.87,G10
749,1576,4.16,G10
750,1345,4.12,G10
751,1872,4.08,G10
752,1532,4.42,G10
753,898,4.07,G10
754,1666,3.96,G10
755,1634,4.12,G10
756,1216,3.79,G10
757,1920,4.43,G10
758,1487,4.05,G10
759,1227,4.19,G10
760,1792,4.2,G10
761,1141,3.61,G10
762,1278,4.33,G10
763,1700,3.84,G10
764,1284,3.7,G10
765,1203,4.14,G10
766,1543,4.35,G10
767,1530,4.11,G10
768,1526,4.01,G10
769,1591,4.43,G10
770,2075,3.65,G10
771,1680,3.69,G10
772,1431,3.71,G10
773,2225,3.79,G10
774,1568,4.36,G10
775,948,4.04,G10
776,410,3.87,G10
777,913,3.53,G10
778,1717,3.86,G10
779,1424,4.18,G10
780,1394,4.66,G10
781,1727,3.61,G10
782,1886,3.6,G10
783,1237,3.69,G10
784,1068,3.93,G10
785,1274,4.01,G10
786,1484,4.29,G10
787,1242,3.92,G10
788,1283,3.94,G10
789,1579,4.13,G10
790,920,3.94,G10
791,1338,3.85,G10
792,1809,4.26,G10
793,1977,4.18,G10
794,1621,4.03,G10
795,1680,3.73,G10
796,1100,4.16,G10
797,512,4.06,G10
798,1628,4.07,G10
799,1531,4.0,G10
800,972,4.07,G10
801,1547,3.79,G10
802,1370,3.49,G9
803,786,4.14,G10
804,2049,3.78,G10
805,1134,3.76,G10
806,1875,4.15,G10
807,1300,3.43,G9
808,1323,4.15,G10
809,1494,4.08,G10
810,666,4.29,G10
811,1329,3.66,G10
812,1139,4.1,G10
813,1477,3.44,G9
814,1196,3.72,G10
815,1562,4.03,G10
816,1525,3.74,G10
817,1396,4.28,G10
818,1829,3.41,G9
819,1869,3.68,G10
820,1819,4.07,G10
821,982,3.62,G10
822,1462,3.67,G10
823,1428,3.68,G10
824,1716,3.63,G10
825,1606,3.76,G10
826,2175,3.93,G10
827,907,4.01,G10
828,1454,4.21,G10
829,1703,3.9,G10
830,906,3.7,G10
831,1018,3.88,G10
832,984,3.98,G10
833,1810,3.64,G10
834,1286,3.86,G10
835,614,4.07,G10
836,1413,3.82,G10
837,1043,3.85,G10
838,1742,3.66,G10
839,1904,3.77,G10
840,1847,4.32,G10
841,1149,4.36,G10
842,1276,4.21,G10
843,574,3.64,G10
844,1158,4.05,G10
845,332,4.06,G10
846,1404,4.13,G10
847,1451,3.74,G10
848,1705,3.89,G10
849,936,3.59,G10
850,1555,3.68,G10
851,1701,3.48,G9
852,1172,4.29,G10
853,1334,3.89,G10
854,1072,3.78,G10
855,1871,3.92,G10
856,1534,3.73,G10
857,1565,3.97,G10
858,1474,4.19,G10
859,1148,4.05,G10
860,1730,3.85,G10
861,1190,4.09,G10
862,1373,4.7,G10
863,1291,4.34,G10
864,1472,4.12,G10
865,1806,3.85,G10
866,1459,3.86,G10
867,1368,3.76,G10
868,1714,4.08,G10
869,1587,3.6,G10
870,827,4.33,G10
871,1780,3.75,G10
872,1415,3.92,G10
873,1409,3.82,G10
874,1057,3.92,G10
875,1248,3.55,G10
876,1553,4.1,G10
877,1539,4.13,G10
878,621,3.99,G10
879,1764,3.63,G10
880,1123,3.85,G10
881,1320,4.04,G10
882,1457,4.07,G10
883,1755,3.82,G10
884,1301,3.87,G10
885,1755,3.74,G10
886,1286,3.89,G10
887,1623,3.66,G10
888,1383,4.25,G10
889,1185,4.23,G10
890,1469,4.13,G10
891,1562,3.92,G10
892,969,3.73,G10
893,729,4.39,G10
894,1500,4.21,G10
895,1426,3.76,G10
896,1333,3.97,G10
897,1247,3.89,G10
898,1735,3.68,G10
899,1658,3.89,G10
900,797,4.04,G10
901,1445,4.0,G10
902,1084,4.04,G10
903,1394,3.44,G9
904,955,3.69,G10
905,1394,4.11,G10
906,1566,3.79,G10
907,830,3.97,G10
908,1322,3.3,G9
909,1174,4.01,G10
910,1252,4.12,G10
911,1720,3.31,G9
912,1405,3.99,G10
913,884,4.11,G10
914,1199,4.09,G10
915,1741,3.65,G10
916,1684,3.51,G10
917,1258,4.01,G10
918,1250,3.84,G10
919,2003,3.74,G10
920,973,3.63,G10
921,994,4.03,G10
922,924,3.72,G10
923,1257,3.73,G10
924,1552,3.4,G9
925,1508,3.81,G10
926,1316,3.4,G9
927,749,3.77,G10
928,1256,3.95,G10
929,1463,3.93,G10
930,1673,3.74,G10
931,924,3.23,G9
932,683,3.96,G10
933,1366,4.02,G10
934,1501,3.68,G10
935,1619,3.81,G10
936,1633,4.07,G10
937,1568,4.16,G10
938,1014,4.15,G10
939,1258,3.72,G10
940,1362,3.84,G10
941,1647,3.78,G10
942,1115,3.98,G10
943,1346,3.96,G10
944,1575,3.61,G10
945,978,3.66,G10
946,990,3.47,G9
947,1023,4.09,G10
948,1729,3.9,G10
949,1482,4.0,G10
950,888,4.3,G10
951,1060,3.82,G10
952,1004,3.52,G10
953,1655,4.13,G10
954,372,4.05,G10
955,1113,3.51,G10
956,861,4.26,G10
957,1109,3.75,G10
958,1247,4.46,G10
959,1705,3.53,G10
960,1348,4.26,G10
961,1379,3.88,G10
962,1131,4.19,G10
963,1418,3.78,G10
964,1400,4.52,G10
965,972,3.86,G10
966,1479,4.06,G10
967,1681,3.62,G10
968,635,3.5,G9
969,963,3.54,G10
970,1311,4.1,G10
971,1038,4.05,G10
972,1491,3.77,G10
973,1055,3.39,G9
974,1232,3.63,G10
975,1274,3.83,G10
976,1102,4.47,G10
977,1496,3.92,G10
978,1430,3.89,G10
979,1296,3.84,G10
980,1170,4.09,G10
981,1127,3.54,G10
982,1662,3.97,G10
983,1053,4.34,G10
984,1632,3.69,G10
985,855,4.21,G10
986,1608,3.47,G9
987,942,4.37,G10
988,1212,4.34,G10
989,1180,4.14,G10
990,278,3.88,G10
991,1145,3.87,G10
992,932,3.52,G10
993,1348,4.01,G10
994,1414,4.27,G10
995,1015,3.96,G10
996,1334,4.01,G10
997,1315,3.97,G10
998,1307,4.45,G10
999,1348,4.05,G10
1000,1239,3.97,G10
1001,1327,3.17,G9
1002,1073,4.24,G10
1003,1483,3.98,G10
1004,925,3.92,G10
1005,1378,3.66,G10
1006,632,3.63,G10
1007,899,3.62,G10
1008,964,4.02,G10
1009,1383,3.51,G10
1010,1249,4.65,G10
1011,1493,3.98,G10
1012,1239,4.03,G10
1013,627,4.1,G10
1014,1513,3.97,G10
1015,1051,3.94,G10
1016,784,3.93,G10
1017,1059,3.94,G10
1018,1289,4.13,G10
1019,1231,3.98,G10
1020,1170,3.93,G10
1021,1183,3.92,G10
1022,1293,4.48,G10
1023,1456,3.96,G10
1024,1283,3.7,G10
1025,701,3.83,G10
1026,1250,4.28,G10
1027,1179,4.26,G10
1028,1308,3.51,G10
1029,745,4.49,G10
1030,1361,3.93,G10
1031,1137,3.98,G10
1032,1055,3.86,G10
1033,1285,3.79,G10
1034,1406,4.09,G10
1035,407,3.98,G10
1036,736,4.23,G10
1037,1380,3.69,G10
1038,1216,3.82,G10
1039,1375,3.19,G9
1040,1209,3.68,G10
1041,983,4.04,G10
1042,1427,3.88,G10
1043,487,3.91,G10
1044,1052,3.75,G10
1045,848,3.94,G10
1046,1037,3.76,G10
1047,632,4.27,G10
1048,1142,3.96,G10
1049,1256,4.05,G10
1050,1079,3.82,G10
1051,1218,3.8,G10
1052,1058,3.81,G10
1053,1572,3.9,G10
1054,1256,3.43,G9
1055,1281,3.84,G10
1056,1016,3.72,G10
1057,1393,3.66,G10
1058,964,3.96,G10
1059,875,3.86,G10
1060,1129,4.04,G10
1061,1649,3.94,G10
1062,1091,3.63,G10
1063,1048,3.55,G10
1064,1178,3.92,G10
1065,1388,4.13,G10
1066,792,3.71,G10
1067,1277,4.03,G10
1068,1102,3.99,G10
1069,853,3.85,G10
1070,1107,4.06,G10
1071,1128,3.96,G10
1072,796,3.53,G10
1073,1335,3.69,G10
1074,1184,4.07,G10
1075,1752,3.62,G10
1076,1280,3.4,G9
1077,860,4.12,G10
1078,481,3.91,G10
1079,1067,3.25,G9
1080,685,3.9,G10
1081,1130,4.16,G10
1082,887,3.78,G10
1083,1097,3.63,G10
1084,1315,3.62,G10
1085,412,3.17,G9
1086,1201,3.93,G10
1087,1065,3.99,G10
1088,1258,3.88,G10
1089,1336,3.9,G10
1090,1012,4.01,G10
1091,1017,4.0,G10
1092,1134,3.85,G10
1093,934,3.84,G10
1094,1638,3.72,G10
1095,889,3.78,G10
1096,1242,3.99,G10
1097,564,3.73,G10
1098,848,3.95,G10
1099,925,4.29,G10
1100,880,4.14,G10
1101,1084,3.73,G10
1102,907,3.88,G10
1103,766,3.94,G10
1104,683,3.4,G9
1105,1293,3.77,G10
1106,793,4.22,G10
1107,962,3.61,G10
1108,1447,4.25,G10
1109,361,4.09,G10
1110,1073,4.27,G10
1111,616,3.33,G9
1112,1209,4.17,G10
1113,736,3.91,G10
1114,937,4.05,G10
1115,653,3.7,G10
1116,391,3.75,G10
1117,1414,3.53,G10
1118,1161,3.57,G10
1119,1381,3.83,G10
1120,1548,4.03,G10
1121,1038,4.01,G10
1122,813,4.02,G10
1123,1535,3.84,G10
1124,985,3.64,G10
1125,338,3.03,G9
1126,587,3.81,G10
1127,1316,4.24,G10
1128,1271,3.98,G10
1129,125,3.89,G10
1130,1008,4.25,G10
1131,1319,3.9,G10
1132,1066,3.63,G10
1133,1694,3.83,G10
1134,606,4.05,G10
1135,1313,3.79,G10
1136,1267,3.84,G10
1137,1118,3.91,G10
1138,998,4.02,G10
1139,1616,3.38,G9
1140,880,3.8,G10
1141,315,3.95,G10
1142,1184,4.1,G10
1143,866,3.9,G10
1144,1216,3.84,G10
1145,1280,3.62,G10
1146,457,4.12,G10
1147,1028,3.68,G10
1148,730,3.86,G10
1149,1054,3.57,G10
1150,1083,3.99,G10
1151,1211,4.02,G10
1152,874,3.73,G10
1153,1055,4.0,G10
1154,766,4.23,G10
1155,1216,3.91,G10
1156,1041,3.77,G10
1157,589,3.67,G10
1158,1329,4.3,G10
1159,1237,3.93,G10
1160,1128,4.0,G10
