user_id,nu,rating_percentile,ru
181,107,43.36,3.37
182,106,41.57,4.14
183,110,48.74,3.6
184,97,26.8,4.19
185,103,36.43,4.04
186,116,58.85,3.66
187,97,26.8,4.22
188,113,53.95,3.19
189,89,16.38,4.12
190,89,16.38,4.22
191,91,18.53,3.96
192,111,50.5,4.33
193,125,71.57,3.5
194,119,63.38,4.0
195,126,72.82,2.94
196,113,53.95,3.88
197,57,2.36,3.93
198,80,8.92,3.6
199,109,46.94,3.58
200,105,39.84,3.96
201,90,17.43,3.97
202,164,97.06,3.93
203,120,64.93,3.32
204,124,70.35,3.83
205,104,38.15,3.66
206,118,61.89,4.3
207,145,89.56,3.39
208,122,67.7,3.21
209,147,90.78,3.71
210,71,5.01,4.42
211,102,34.73,4.03
212,98,28.34,3.69
213,138,84.81,3.34
214,82,10.17,3.83
215,159,95.75,3.68
216,92,19.77,3.42
217,130,77.42,3.9
218,140,86.29,3.81
219,121,66.36,3.9
220,134,81.37,3.4
221,109,46.94,3.54
222,119,63.38,3.54
223,117,60.41,3.91
224,123,69.06,4.07
225,78,7.87,4.23
226,131,78.46,3.66
227,84,11.57,3.98
228,127,74.02,3.91
229,126,72.82,3.7
230,163,96.82,3.7
231,97,26.8,3.22
232,132,79.43,3.91
233,143,88.31,3.56
234,112,52.22,3.75
235,106,41.57,2.81
236,101,33.07,4.25
237,121,66.36,3.79
238,55,2.19,3.67
239,112,52.22,3.85
240,85,12.38,4.4
241,96,25.28,3.67
242,123,69.06,3.72
243,114,55.65,3.22
244,151,92.72,3.24
245,106,41.57,3.75
246,128,75.17,3.41
247,158,95.43,3.87
248,152,93.14,3.86
249,103,36.43,3.96
250,104,38.15,4.21
251,141,86.99,4.33
252,127,74.02,3.52
253,122,67.7,3.68
254,114,55.65,3.4
255,94,22.45,4.07
256,161,96.31,3.66
257,95,23.83,3.48
258,115,57.27,3.97
259,105,39.84,4.12
260,45,1.31,3.71
261,105,39.84,3.52
262,123,69.06,3.71
263,126,72.82,4.15
264,95,23.83,3.66
265,102,34.73,3.59
266,111,50.5,3.65
267,111,50.5,3.57
268,122,67.7,4.65
269,104,38.15,3.68
270,102,34.73,3.66
271,93,21.1,3.89
272,134,81.37,3.93
273,81,9.52,4.12
274,176,99.05,4.69
275,125,71.57,3.95
276,129,76.32,3.53
277,121,66.36,3.87
278,106,41.57,3.63
279,118,61.89,3.8
280,130,77.42,3.56
281,98,28.34,3.97
282,150,92.28,3.75
283,112,52.22,3.61
284,141,86.99,4.03
285,98,28.34,3.73
286,110,48.74,3.1
287,100,31.41,4.55
288,101,33.07,3.71
289,134,81.37,4.75
290,137,83.99,4.16
291,127,74.02,3.47
292,93,21.1,3.41
293,97,26.8,3.46
294,124,70.35,3.65
295,112,52.22,3.44
296,104,38.15,3.41
297,84,11.57,3.9
298,104,38.15,4.0
299,83,10.86,3.45
300,68,4.12,3.51
301,104,38.15,3.73
302,53,1.98,4.49
303,122,67.7,3.96
304,62,2.96,3.37
305,90,17.43,3.89
306,143,88.31,2.78
307,153,93.54,3.5
308,86,13.32,3.33
309,102,34.73,3.47
310,130,77.42,4.54
311,128,75.17,3.05
312,90,17.43,4.42
313,97,26.8,3.86
314,183,99.57,3.59
315,125,71.57,3.91
316,69,4.4,3.97
317,97,26.8,3.93
318,91,18.53,3.98
319,158,95.43,3.88
320,131,78.46,4.27
321,159,95.75,3.86
322,107,43.36,3.55
323,135,82.31,3.91
324,151,92.72,3.97
325,132,79.43,3.69
326,107,43.36,3.92
327,101,33.07,3.77
328,101,33.07,3.67
329,136,83.15,3.79
330,87,14.35,3.62
331,94,22.45,3.61
332,122,67.7,3.47
333,75,6.52,4.31
334,104,38.15,2.85
335,141,86.99,3.6
336,129,76.32,4.49
337,90,17.43,4.03
338,155,94.35,3.88
339,92,19.77,3.96
340,93,21.1,3.19
341,159,95.75,3.7
342,142,87.65,3.7
343,165,97.29,4.02
344,100,31.41,4.17
345,150,92.28,3.42
346,143,88.31,3.69
347,92,19.77,3.32
348,93,21.1,3.67
349,148,91.33,3.87
350,92,19.77,3.49
351,122,67.7,3.72
352,141,86.99,3.89
353,97,26.8,4.2
354,51,1.8,3.39
355,62,2.96,3.82
356,131,78.46,4.1
357,101,33.07,4.15
358,131,78.46,3.9
359,97,26.8,3.57
360,137,83.99,3.09
361,123,69.06,3.63
362,149,91.83,3.46
363,163,96.82,2.98
364,75,6.52,3.05
365,123,69.06,4.39
366,145,89.56,3.34
367,118,61.89,3.72
368,178,99.24,3.12
369,71,5.01,4.11
370,128,75.17,3.94
371,107,43.36,3.55
372,129,76.32,3.37
373,92,19.77,4.22
374,114,55.65,3.29
375,126,72.82,3.76
376,144,88.95,3.85
377,145,89.56,4.06
378,119,63.38,3.71
379,108,45.15,3.99
380,82,10.17,3.28
381,162,96.57,4.17
382,80,8.92,3.75
383,117,60.41,4.1
384,113,53.95,4.04
385,124,70.35,3.9
386,59,2.57,3.46
387,148,91.33,3.26
388,107,43.36,3.67
389,138,84.81,4.25
390,108,45.15,3.57
391,86,13.32,4.12
392,110,48.74,3.95
393,130,77.42,3.91
394,120,64.93,3.65
395,132,79.43,3.61
396,134,81.37,3.23
397,103,36.43,4.01
398,129,76.32,3.98
399,103,36.43,3.75
400,139,85.57,3.58
401,85,12.38,3.86
402,122,67.7,4.15
403,139,85.57,4.05
404,93,21.1,4.1
405,118,61.89,3.42
406,106,41.57,3.56
407,158,95.43,3.05
408,91,18.53,4.31
409,133,80.37,3.29
410,98,28.34,3.49
411,65,3.43,3.6
412,123,69.06,4.09
413,124,70.35,3.56
414,106,41.57,3.53
415,87,14.35,3.47
416,129,76.32,3.35
417,114,55.65,4.11
418,50,1.72,3.6
419,120,64.93,3.86
420,138,84.81,2.91
421,128,75.17,3.91
422,129,76.32,4.05
423,92,19.77,3.57
424,160,96.04,3.18
425,153,93.54,4.04
426,137,83.99,3.61
427,111,50.5,3.66
428,93,21.1,3.98
429,124,70.35,3.33
430,159,95.75,3.98
431,124,70.35,3.52
432,121,66.36,3.42
433,86,13.32,3.94
434,109,46.94,3.77
435,87,14.35,3.74
436,100,31.41,3.26
437,101,33.07,3.13
438,90,17.43,3.44
439,181,99.46,3.29
440,131,78.46,3.28
441,133,80.37,3.94
442,81,9.52,3.51
443,139,85.57,3.76
444,92,19.77,3.27
445,110,48.74,3.74
446,164,97.06,4.13
447,145,89.56,3.93
448,107,43.36,3.66
449,77,7.39,4.14
450,118,61.89,3.42
451,129,76.32,4.16
452,145,89.56,3.75
453,118,61.89,3.76
454,138,84.81,4.01
455,111,50.5,4.38
456,128,75.17,3.14
457,106,41.57,4.29
458,121,66.36,3.4
459,123,69.06,3.67
460,118,61.89,4.41
461,155,94.35,3.89
462,131,78.46,3.98
463,142,87.65,3.35
464,61,2.82,4.33
465,92,19.77,4.13
466,132,79.43,3.99
467,134,81.37,3.23
468,123,69.06,3.51
469,111,50.5,3.73
470,102,34.73,3.21
471,115,57.27,3.57
472,120,64.93,4.12
473,112,52.22,3.18
474,109,46.94,3.88
475,116,58.85,3.78
476,159,95.75,4.01
477,104,38.15,4.38
478,96,25.28,4.0
479,133,80.37,4.06
480,96,25.28,3.57
481,102,34.73,4.25
482,85,12.38,4.6
483,127,74.02,3.84
484,127,74.02,3.75
485,115,57.27,4.07
486,73,5.7,3.74
487,136,83.15,4.12
488,133,80.37,3.9
489,114,55.65,3.9
490,137,83.99,3.6
491,149,91.83,3.64
492,89,16.38,3.19
493,133,80.37,3.9
494,134,81.37,3.6
495,103,36.43,4.29
496,104,38.15,4.43
497,101,33.07,3.76
498,117,60.41,4.11
499,130,77.42,3.52
500,106,41.57,4.08
501,94,22.45,3.63
502,129,76.32,3.57
503,110,48.74,4.21
504,101,33.07,3.85
505,114,55.65,3.82
506,109,46.94,3.3
507,115,57.27,3.64
508,100,31.41,4.04
509,107,43.36,3.65
510,117,60.41,3.37
511,95,23.83,3.46
512,139,85.57,3.69
513,161,96.31,3.9
514,95,23.83,3.43
515,68,4.12,4.35
516,114,55.65,3.73
517,101,33.07,4.13
518,87,14.35,4.31
519,145,89.56,3.26
520,131,78.46,3.39
521,93,21.1,3.89
522,98,28.34,3.64
523,116,58.85,3.44
524,106,41.57,3.69
525,85,12.38,3.91
526,132,79.43,3.8
527,89,16.38,4.36
528,124,70.35,3.89
529,137,83.99,3.81
530,113,53.95,3.93
531,120,64.93,4.27
532,119,63.38,3.91
533,98,28.34,3.53
534,120,64.93,3.52
535,116,58.85,4.41
536,125,71.57,3.83
537,138,84.81,3.64
538,111,50.5,3.32
539,93,21.1,3.95
540,135,82.31,4.2
541,121,66.36,4.19
542,125,71.57,3.63
543,108,45.15,4.33
544,82,10.17,4.05
545,82,10.17,4.35
546,114,55.65,4.02
547,127,74.02,3.65
548,99,29.83,3.8
549,86,13.32,4.13
550,136,83.15,3.54
551,101,33.07,3.41
552,95,23.83,3.95
553,121,66.36,3.52
554,136,83.15,3.35
555,106,41.57,3.75
556,97,26.8,3.9
557,142,87.65,4.33
558,109,46.94,3.83
559,145,89.56,4.04
560,105,39.84,3.39
561,89,16.38,4.22
562,82,10.17,4.07
563,86,13.32,4.03
564,132,79.43,3.45
565,86,13.32,3.91
566,126,72.82,4.35
567,143,88.31,3.34
568,146,90.17,4.12
569,110,48.74,3.97
570,108,45.15,3.93
571,135,82.31,3.7
572,95,23.83,3.81
573,140,86.29,3.51
574,137,83.99,3.87
575,156,94.71,3.72
576,106,41.57,4.09
577,149,91.83,3.52
578,141,86.99,3.87
579,99,29.83,3.72
580,87,14.35,3.14
581,69,4.4,3.46
582,114,55.65,3.75
583,113,53.95,3.75
584,107,43.36,3.84
585,108,45.15,3.42
586,107,43.36,4.25
587,93,21.1,4.26
588,186,99.72,3.62
589,169,98.07,3.39
590,90,17.43,3.16
591,151,92.72,3.19
592,127,74.02,3.58
593,114,55.65,3.41
594,107,43.36,3.53
595,107,43.36,3.62
596,96,25.28,3.4
597,132,79.43,4.33
598,101,33.07,4.19
599,106,41.57,3.77
600,112,52.22,3.97
601,85,12.38,3.29
602,140,86.29,4.46
603,106,41.57,3.81
604,88,15.37,4.08
605,104,38.15,3.49
606,146,90.17,3.88
607,108,45.15,3.5
608,114,55.65,3.67
609,134,81.37,3.2
610,119,63.38,3.22
611,132,79.43,3.52
612,128,75.17,3.91
613,121,66.36,4.13
614,119,63.38,3.32
615,144,88.95,3.95
616,116,58.85,3.54
617,112,52.22,3.56
618,139,85.57,3.35
619,115,57.27,3.65
620,112,52.22,3.83
621,101,33.07,3.05
622,82,10.17,4.04
623,104,38.15,4.19
624,148,91.33,3.37
625,118,61.89,3.5
626,105,39.84,3.3
627,87,14.35,3.98
628,112,52.22,4.31
629,111,50.5,4.15
630,145,89.56,3.86
631,134,81.37,3.56
632,96,25.28,3.61
633,142,87.65,3.64
634,99,29.83,4.17
635,118,61.89,3.92
636,117,60.41,4.32
637,103,36.43,3.62
638,113,53.95,3.82
639,106,41.57,3.82
640,104,38.15,3.96
641,109,46.94,3.59
642,124,70.35,3.63
643,121,66.36,3.5
644,106,41.57,3.69
645,108,45.15,3.65
646,124,70.35,3.73
647,122,67.7,3.57
648,130,77.42,3.34
649,50,1.72,3.96
650,101,33.07,4.35
651,54,2.09,3.91
652,122,67.7,3.61
653,123,69.06,3.27
654,84,11.57,4.5
655,118,61.89,3.6
656,131,78.46,3.96
657,144,88.95,3.52
658,94,22.45,3.9
659,145,89.56,3.53
660,132,79.43,4.05
661,106,41.57,4.38
662,115,57.27,4.01
663,150,92.28,3.57
664,101,33.07,3.76
665,95,23.83,3.8
666,61,2.82,3.36
667,90,17.43,3.18
668,97,26.8,3.86
669,140,86.29,3.29
670,114,55.65,3.75
671,109,46.94,3.86
672,144,88.95,3.6
673,121,66.36,3.01
674,109,46.94,4.01
675,108,45.15,4.2
676,131,78.46,4.08
677,113,53.95,3.54
678,107,43.36,3.06
679,105,39.84,3.98
680,105,39.84,3.59
681,106,41.57,3.78
682,105,39.84,3.57
683,144,88.95,3.53
684,128,75.17,3.95
685,118,61.89,3.67
686,104,38.15,4.04
687,111,50.5,4.11
688,114,55.65,4.25
689,115,57.27,3.46
690,132,79.43,3.41
691,79,8.36,4.77
692,97,26.8,4.05
693,114,55.65,4.1
694,133,80.37,4.28
695,129,76.32,3.84
696,92,19.77,3.82
697,148,91.33,3.78
698,117,60.41,3.72
699,106,41.57,3.43
700,88,15.37,4.03
701,138,84.81,3.96
702,53,1.98,3.51
703,123,69.06,3.93
704,83,10.86,3.66
705,84,11.57,4.0
706,135,82.31,3.64
707,95,23.83,3.52
708,90,17.43,3.41
709,114,55.65,3.76
710,128,75.17,3.27
711,114,55.65,3.69
712,149,91.83,4.63
713,96,25.28,3.67
714,106,41.57,3.01
715,142,87.65,3.54
716,102,34.73,4.3
717,136,83.15,3.8
718,97,26.8,4.02
719,106,41.57,3.5
720,97,26.8,3.88
721,76,6.94,3.53
722,89,16.38,3.76
723,98,28.34,3.53
724,106,41.57,3.92
725,178,99.24,3.84
726,148,91.33,3.58
727,107,43.36,3.64
728,152,93.14,3.01
729,78,7.87,3.38
730,108,45.15,3.18
731,111,50.5,3.53
732,143,88.31,3.77
733,80,8.92,3.25
734,95,23.83,4.34
735,133,80.37,3.93
736,160,96.04,3.97
737,100,31.41,3.66
738,112,52.22,3.72
739,134,81.37,4.38
740,101,33.07,3.59
741,76,6.94,3.86
742,125,71.57,4.32
743,106,41.57,3.96
744,108,45.15,3.62
745,139,85.57,3.6
746,104,38.15,4.06
747,86,13.32,3.8
748,121,66.36,4.21
749,105,39.84,3.53
750,124,70.35,3.7
751,113,53.95,3.23
752,133,80.37,3.53
753,97,26.8,3.21
754,106,41.57,3.86
755,121,66.36,3.69
756,119,63.38,3.69
757,106,41.57,3.42
758,110,48.74,4.04
759,126,72.82,3.68
760,97,26.8,4.14
761,92,19.77,3.54
762,159,95.75,3.77
763,122,67.7,3.49
764,82,10.17,4.43
765,111,50.5,3.73
766,149,91.83,3.87
767,144,88.95,3.79
768,118,61.89,3.34
769,138,84.81,4.21
770,131,78.46,3.86
771,112,52.22,3.29
772,133,80.37,3.59
773,79,8.36,3.94
774,135,82.31,4.11
775,88,15.37,3.76
776,111,50.5,3.77
777,109,46.94,3.51
778,145,89.56,3.98
779,106,41.57,3.85
780,119,63.38,3.5
781,107,43.36,3.8
782,100,31.41,4.15
783,96,25.28,3.75
784,103,36.43,3.83
785,113,53.95,4.19
786,117,60.41,4.35
787,137,83.99,3.8
788,93,21.1,3.72
789,136,83.15,3.76
790,115,57.27,3.33
791,108,45.15,3.61
792,91,18.53,4.42
793,128,75.17,3.36
794,127,74.02,3.75
795,135,82.31,3.74
796,108,45.15,3.86
797,145,89.56,3.6
798,114,55.65,4.06
799,151,92.72,3.64
800,113,53.95,3.88
801,123,69.06,3.53
802,111,50.5,4.09
803,127,74.02,3.7
804,105,39.84,3.65
805,104,38.15,3.75
806,130,77.42,3.79
807,94,22.45,3.13
808,98,28.34,4.1
809,130,77.42,3.76
810,95,23.83,4.01
811,146,90.17,4.37
812,120,64.93,4.26
813,97,26.8,3.68
814,134,81.37,3.81
815,122,67.7,3.61
816,147,90.78,3.59
817,143,88.31,4.11
818,118,61.89,2.73
819,129,76.32,4.95
820,126,72.82,3.67
821,97,26.8,4.03
822,115,57.27,3.65
823,91,18.53,4.12
824,139,85.57,3.72
825,124,70.35,3.58
826,119,63.38,3.67
827,138,84.81,3.7
828,136,83.15,3.71
829,109,46.94,3.6
830,129,76.32,3.98
831,94,22.45,4.38
832,110,48.74,3.61
833,130,77.42,3.76
834,97,26.8,4.28
835,128,75.17,3.85
836,141,86.99,3.27
837,101,33.07,4.04
838,106,41.57,3.89
839,108,45.15,3.56
840,121,66.36,3.66
841,140,86.29,3.74
842,82,10.17,3.84
843,89,16.38,3.65
844,110,48.74,3.45
845,115,57.27,3.74
846,89,16.38,3.43
847,98,28.34,4.06
848,130,77.42,4.4
849,143,88.31,3.68
850,121,66.36,4.19
851,137,83.99,4.34
852,133,80.37,3.86
853,90,17.43,3.72
854,129,76.32,3.59
855,110,48.74,3.85
856,144,88.95,3.53
857,131,78.46,3.56
858,147,90.78,3.74
859,157,95.08,4.1
860,147,90.78,3.39
861,116,58.85,3.41
862,109,46.94,3.68
863,116,58.85,3.34
864,93,21.1,3.74
865,105,39.84,3.51
866,114,55.65,3.71
867,91,18.53,4.03
868,94,22.45,3.68
869,119,63.38,3.92
870,108,45.15,3.02
871,129,76.32,3.73
872,103,36.43,3.4
873,131,78.46,3.54
874,124,70.35,3.98
875,112,52.22,3.92
876,126,72.82,3.68
877,128,75.17,3.31
878,100,31.41,4.06
879,108,45.15,3.68
880,155,94.35,3.63
881,100,31.41,4.16
882,135,82.31,3.55
883,159,95.75,3.5
884,118,61.89,3.54
885,106,41.57,4.02
886,92,19.77,3.76
887,110,48.74,3.64
888,109,46.94,4.11
889,139,85.57,3.85
890,101,33.07,3.75
891,100,31.41,3.85
892,125,71.57,4.02
893,138,84.81,3.97
894,107,43.36,3.64
895,154,93.96,4.09
896,103,36.43,3.59
897,101,33.07,3.72
898,110,48.74,4.24
899,90,17.43,3.61
900,139,85.57,3.7
901,150,92.28,3.67
902,107,43.36,4.03
903,94,22.45,3.71
904,148,91.33,3.85
905,124,70.35,3.99
906,109,46.94,3.49
907,161,96.31,3.61
908,129,76.32,3.82
909,122,67.7,4.15
910,104,38.15,3.79
911,116,58.85,3.2
912,110,48.74,4.13
913,92,19.77,3.78
914,121,66.36,3.79
915,112,52.22,4.45
916,116,58.85,3.52
917,105,39.84,3.75
918,122,67.7,3.72
919,143,88.31,3.53
920,95,23.83,3.93
921,102,34.73,4.18
922,146,90.17,3.64
923,139,85.57,3.69
924,130,77.42,4.12
925,153,93.54,3.37
926,120,64.93,3.58
927,110,48.74,3.94
928,107,43.36,3.58
929,148,91.33,4.24
930,103,36.43,3.78
931,154,93.96,3.76
932,99,29.83,4.15
933,116,58.85,3.76
934,135,82.31,3.74
935,123,69.06,2.64
936,93,21.1,3.47
937,143,88.31,3.02
938,103,36.43,4.03
939,119,63.38,3.64
940,103,36.43,3.05
941,109,46.94,4.2
942,120,64.93,3.5
943,120,64.93,3.12
944,98,28.34,3.83
945,101,33.07,3.99
946,169,98.07,3.35
947,132,79.43,3.42
948,121,66.36,4.62
949,136,83.15,3.76
950,101,33.07,3.5
951,188,99.8,4.39
952,110,48.74,4.02
953,98,28.34,4.1
954,122,67.7,2.89
955,103,36.43,4.16
956,110,48.74,4.23
957,98,28.34,3.81
958,140,86.29,3.56
959,96,25.28,3.47
960,112,52.22,3.92
961,153,93.54,4.02
962,153,93.54,4.03
963,141,86.99,3.85
964,98,28.34,3.96
965,122,67.7,3.93
966,105,39.84,4.23
967,94,22.45,3.24
968,114,55.65,3.42
969,141,86.99,4.06
970,94,22.45,3.48
971,105,39.84,3.47
972,105,39.84,3.91
973,120,64.93,3.84
974,119,63.38,4.04
975,120,64.93,3.66
976,109,46.94,3.08
977,101,33.07,4.52
978,133,80.37,3.63
979,117,60.41,3.53
980,117,60.41,3.42
981,106,41.57,4.29
982,115,57.27,3.66
983,93,21.1,4.09
984,124,70.35,3.55
985,107,43.36,3.64
986,149,91.83,3.91
987,103,36.43,3.76
988,94,22.45,3.93
989,88,15.37,3.33
990,98,28.34,3.97
991,92,19.77,3.8
992,136,83.15,3.99
993,111,50.5,4.03
994,130,77.42,4.05
995,111,50.5,4.17
996,147,90.78,3.84
997,166,97.51,3.9
998,98,28.34,3.49
999,108,45.15,4.33
1000,107,43.36,3.41
1001,96,25.28,3.54
1002,131,78.46,3.47
1003,103,36.43,3.41
1004,91,18.53,2.86
1005,127,74.02,3.94
1006,92,19.77,3.7
1007,91,18.53,3.82
1008,139,85.57,3.42
1009,111,50.5,4.24
1010,138,84.81,3.82
1011,108,45.15,3.88
1012,100,31.41,4.18
1013,128,75.17,4.03
1014,140,86.29,3.94
1015,79,8.36,3.42
1016,116,58.85,4.28
1017,138,84.81,3.72
1018,89,16.38,3.98
1019,163,96.82,3.4
1020,97,26.8,2.98
1021,109,46.94,3.75
1022,138,84.81,3.82
1023,109,46.94,3.93
1024,131,78.46,3.66
1025,105,39.84,4.05
1026,137,83.99,3.59
1027,161,96.31,3.52
1028,73,5.7,4.38
1029,101,33.07,3.6
1030,122,67.7,3.24
1031,150,92.28,3.17
1032,111,50.5,3.83
1033,116,58.85,3.88
1034,85,12.38,3.8
1035,118,61.89,3.25
1036,89,16.38,3.81
1037,173,98.71,3.54
1038,162,96.57,3.79
1039,90,17.43,3.46
1040,91,18.53,3.58
1041,157,95.08,4.03
1042,144,88.95,4.15
1043,107,43.36,3.49
1044,119,63.38,4.47
1045,87,14.35,3.2
1046,122,67.7,3.66
1047,108,45.15,3.6
1048,109,46.94,3.72
1049,94,22.45,3.96
1050,86,13.32,3.38
1051,117,60.41,4.62
1052,139,85.57,3.79
1053,122,67.7,4.55
1054,116,58.85,4.33
1055,104,38.15,4.03
1056,87,14.35,3.45
1057,139,85.57,3.78
1058,123,69.06,2.45
1059,117,60.41,3.38
1060,120,64.93,3.22
1061,159,95.75,3.76
1062,89,16.38,4.04
1063,144,88.95,3.69
1064,160,96.04,3.84
1065,101,33.07,3.38
1066,101,33.07,3.77
1067,87,14.35,3.49
1068,123,69.06,3.58
1069,102,34.73,3.87
1070,108,45.15,3.72
1071,107,43.36,3.85
1072,140,86.29,4.09
1073,81,9.52,3.46
1074,132,79.43,3.98
1075,123,69.06,3.32
1076,132,79.43,3.7
1077,139,85.57,3.35
1078,147,90.78,3.95
1079,90,17.43,4.3
1080,76,6.94,4.0
1081,147,90.78,4.05
1082,100,31.41,3.74
1083,99,29.83,4.2
1084,140,86.29,3.99
1085,82,10.17,4.34
1086,112,52.22,3.32
1087,113,53.95,4.13
1088,180,99.4,3.77
1089,109,46.94,3.83
1090,148,91.33,3.34
1091,83,10.86,3.63
1092,137,83.99,3.61
1093,124,70.35,3.57
1094,113,53.95,3.38
1095,118,61.89,3.52
1096,122,67.7,3.82
1097,134,81.37,3.93
1098,134,81.37,3.13
1099,116,58.85,4.34
1100,108,45.15,3.72
1101,115,57.27,3.86
1102,112,52.22,4.21
1103,109,46.94,3.97
1104,133,80.37,3.0
1105,111,50.5,3.83
1106,120,64.93,3.79
1107,147,90.78,3.44
1108,117,60.41,3.66
1109,127,74.02,3.84
1110,104,38.15,3.86
1111,107,43.36,4.11
1112,98,28.34,3.95
1113,123,69.06,3.25
1114,70,4.69,3.29
1115,157,95.08,3.04
1116,87,14.35,3.92
1117,95,23.83,3.33
1118,112,52.22,3.49
1119,145,89.56,4.1
1120,128,75.17,3.33
1121,145,89.56,3.8
1122,115,57.27,4.05
1123,130,77.42,3.68
1124,111,50.5,3.77
1125,97,26.8,3.87
1126,134,81.37,3.93
1127,143,88.31,3.87
1128,90,17.43,3.38
1129,101,33.07,3.81
1130,118,61.89,3.7
1131,113,53.95,3.88
1132,115,57.27,3.87
1133,111,50.5,4.18
1134,54,2.09,3.63
1135,106,41.57,3.43
1136,180,99.4,3.12
1137,103,36.43,2.99
1138,119,63.38,3.99
1139,100,31.41,3.93
1140,111,50.5,3.95
1141,90,17.43,3.32
1142,112,52.22,4.43
1143,126,72.82,3.87
1144,142,87.65,2.87
1145,135,82.31,3.85
1146,128,75.17,3.48
1147,94,22.45,3.62
1148,132,79.43,3.69
1149,110,48.74,4.21
1150,86,13.32,4.0
1151,112,52.22,4.2
